"Table US1.   Total Energy Consumption, Expenditures, and Intensities, 2005 
                     Part 1: Housing Unit Characteristics and Energy Usage Indicators",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Number of  Members per Household,"Floorspace per Household
(Square Feet)",Energy Consumption2,,,,Energy Expenditures2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Housing Unit Characteristics and Energy Usage Indicators,"U.S.
Households (millions)",,,"Total U.S.
(quadrillion
Btu)","Per
Household
(million Btu)","Per Household Member
(million Btu)","Per
Square Foot
(thousand Btu)","Total U.S.
(billion Dollars)","Per
Household
(Dollars)","Per Household Member
(Dollars)","Per
Square Foot
(Dollars)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,111.1,2.57,"2,171",10.55,94.9,37.0,43.7,201.07,"1,810",705,0.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Census Region and Division,,,,,,,,,,,,,,,,,,,,
Northeast,20.6,2.56,"2,334",2.52,122.2,47.7,52.4,47.72,"2,319",905,0.99,,,,,,,,,
New England,5.5,2.34,"2,472",0.71,129.3,55.3,52.3,13.27,"2,428","1,038",0.98,,,,,,,,,
Middle Atlantic,15.1,2.64,"2,284",1.81,119.7,45.3,52.4,34.45,"2,279",862,1.00,,,,,,,,,
Midwest,25.6,2.47,"2,421",2.91,113.5,46.0,46.9,45.73,"1,786",724,0.74,,,,,,,,,
East North Central,17.7,2.49,"2,483",2.09,117.7,47.3,47.4,32.10,"1,808",728,0.73,,,,,,,,,
West North Central,7.9,2.43,"2,281",0.82,104.1,42.9,45.7,13.63,"1,735",715,0.76,,,,,,,,,
South,40.7,2.52,"2,161",3.25,79.8,31.6,37.0,71.56,"1,758",696,0.81,,,,,,,,,
South Atlantic,21.7,2.50,"2,243",1.65,76.1,30.4,33.9,36.94,"1,703",680,0.76,,,,,,,,,
East South Central,6.9,2.42,"2,137",0.60,87.3,36.1,40.9,11.54,"1,674",692,0.78,,,,,,,,,
West South Central,12.1,2.62,"2,028",1.00,82.4,31.4,40.6,23.07,"1,903",726,0.94,,,,,,,,,
West,24.2,2.76,"1,784",1.87,77.4,28.1,43.4,36.06,"1,491",541,0.84,,,,,,,,,
Mountain,7.6,2.67,"1,951",0.68,89.8,33.7,46.0,12.42,"1,644",617,0.84,,,,,,,,,
Pacific,16.6,2.80,"1,708",1.19,71.8,25.7,42.0,23.64,"1,421",508,0.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Four Most Populated States,,,,,,,,,,,,,,,,,,,,
New York,7.1,2.72,"1,961",0.84,118.2,43.5,60.3,17.14,"2,409",887,1.23,,,,,,,,,
