Release date: May 2018,,,,,,,,,
"Table CE1.1  Summary annual household site consumption and expenditures in the U.S.—totals and intensities, 2015",,,,,,,,,
,Number of housing units (million),Site energy consumption1,,,,Energy expenditures1,,,
,Total U.S.2,Total (trillion Btu),Per household (million Btu),Per household member (million Btu),Per square foot (thousand Btu),Total (billion dollars),Per household (dollars),Per household member (dollars),Per square foot (dollars)
All homes,118.2,"9,114",77.1,30.3,38.4,219.34,"1,856",728,0.92
Census region and division,,,,,,,,,
Northeast,21.0,"1,984",94.4,38.1,45.2,47.66,"2,269",915,1.09
New England,5.6,547,97.3,40.3,44.5,14.31,"2,541","1,054",1.16
Middle Atlantic,15.4,"1,436",93.4,37.3,45.5,33.36,"2,169",866,1.06
Midwest,26.4,"2,486",94.3,37.8,41.4,46.42,"1,760",706,0.77
East North Central,18.1,"1,755",97.0,38.1,43.1,31.88,"1,762",693,0.78
West North Central,8.3,731,88.3,37.0,37.8,14.54,"1,757",737,0.75
South,44.4,"3,064",68.9,27.3,35.6,85.19,"1,917",758,0.99
South Atlantic,23.5,"1,584",67.5,27.0,33.8,46.09,"1,963",787,0.98
East South Central,7.2,498,69.2,27.5,37.0,13.72,"1,907",757,1.02
West South Central,13.8,981,71.3,27.6,38.1,25.38,"1,843",713,0.98
West,26.4,"1,581",59.9,22.3,33.4,40.06,"1,518",565,0.85
Mountain,8.5,631,74.1,28.7,36.9,13.94,"1,638",634,0.82
Mountain North,4.2,357,84.0,31.4,38.7,6.74,"1,586",593,0.73
Mountain South,4.3,274,64.3,25.8,34.9,7.20,"1,688",678,0.92
Pacific,17.9,949,53.1,19.4,31.5,26.12,"1,461",534,0.87
Census urban/rural classification3,,,,,,,,,
Urban,94.7,"7,181",75.8,29.9,39.2,167.97,"1,773",700,0.92
Urbanized area,82.2,"6,239",75.9,29.7,39.1,146.57,"1,782",698,0.92
Urban cluster,12.5,942,75.2,31.4,40.4,21.40,"1,710",714,0.92
Rural,23.5,"1,933",82.4,31.6,35.5,51.37,"2,190",841,0.94
Metropolitan or micropolitan statistical area,,,,,,,,,
In metropolitan statistical area,98.5,"7,577",76.9,30.0,38.2,181.34,"1,840",717,0.91
In micropolitan statistical area,12.3,950,77.2,31.8,38.3,22.92,"1,861",767,0.92
